neighborhood,year,sale_price_sqr_foot,housing_units,gross_rent
Alamo Square,2010,291.18294547229095,372560,1239
Alamo Square,2011,272.5273101795261,374507,1530
Alamo Square,2012,183.09931693145703,376454,2324
Alamo Square,2013,387.79414379681333,378401,2971
Alamo Square,2014,484.44355217067766,380348,3528
Alamo Square,2015,602.1158769435002,382295,3739
Alamo Square,2016,340.98183523166995,384242,4390
Anza Vista,2010,267.9325826799483,372560,1239
Anza Vista,2012,344.4909139677922,376454,2324
Anza Vista,2013,453.34049829869934,378401,2971
Anza Vista,2014,620.4414065565543,380348,3528
Anza Vista,2015,465.68627450980387,382295,3739
Anza Vista,2016,88.40151094606408,384242,4390
Bayview,2010,170.09866536400102,372560,1239
Bayview,2011,172.54056243085552,374507,1530
Bayview,2012,165.79806239165433,376454,2324
Bayview,2013,259.54716259308043,378401,2971
Bayview,2014,254.95866163273848,380348,3528
Bayview Heights,2015,590.7928388746802,382295,3739
Bernal Heights ,2011,471.9217320911283,374507,1530
Bernal Heights ,2012,368.26656078838516,376454,2324
Bernal Heights ,2013,630.8973025513741,378401,2971
Bernal Heights ,2014,544.5469286452765,380348,3528
Bernal Heights ,2015,458.0042993401075,382295,3739
Bernal Heights ,2016,986.8421052631579,384242,4390
Buena Vista Park,2010,347.3949194037114,372560,1239
Buena Vista Park,2011,171.7723466866044,374507,1530
Buena Vista Park,2012,338.60116351046344,376454,2324
Buena Vista Park,2013,455.2180887853926,378401,2971
Buena Vista Park,2015,551.6956218496264,382295,3739
Buena Vista Park,2016,851.4014053492668,384242,4390
Central Richmond,2010,319.0276225530687,372560,1239
Central Richmond,2011,261.6638003416518,374507,1530
Central Richmond,2012,279.0301399218751,376454,2324
Central Richmond,2013,343.0542609770136,378401,2971
Central Richmond,2014,423.95272693478194,380348,3528
Central Richmond,2015,473.1638149617127,382295,3739
Central Richmond,2016,661.0644257703083,384242,4390
Central Sunset,2010,418.1724927089675,372560,1239
Central Sunset,2011,391.42644972996203,374507,1530
Central Sunset,2012,334.4878725198492,376454,2324
Central Sunset,2013,330.7364310191893,378401,2971
Central Sunset,2014,456.2419957897522,380348,3528
Central Sunset,2015,453.3793770708969,382295,3739
Central Sunset,2016,581.3708750724594,384242,4390
Clarendon Heights,2011,520.7181675305429,374507,1530
Clarendon Heights,2013,453.7716045219721,378401,2971
Corona Heights,2010,369.35933800413665,372560,1239
Corona Heights,2011,222.567848047696,374507,1530
Corona Heights,2012,356.7948135908725,376454,2324
Corona Heights,2014,888.1821435177138,380348,3528
Corona Heights,2015,1100.7911936704506,382295,3739
Cow Hollow,2010,569.3799679261333,372560,1239
Cow Hollow,2011,390.5956530284181,374507,1530
Cow Hollow,2012,644.8183066758803,376454,2324
Cow Hollow,2013,707.4028088888208,378401,2971
Cow Hollow,2014,691.8654114838455,380348,3528
Cow Hollow,2015,598.6205414959003,382295,3739
Cow Hollow,2016,1059.0656015492618,384242,4390
Croker Amazon,2010,165.6457300650791,372560,1239
Croker Amazon,2011,145.85338027594094,374507,1530
Croker Amazon,2012,415.0903401095623,376454,2324
Croker Amazon,2013,223.11583290346024,378401,2971
Croker Amazon,2015,301.61864706270705,382295,3739
Croker Amazon,2016,566.7011760342162,384242,4390
Diamond Heights,2010,456.9308221979013,372560,1239
Diamond Heights,2011,382.3522610640586,374507,1530
Diamond Heights,2012,366.9954275112727,376454,2324
Diamond Heights,2013,533.6884470076521,378401,2971
Downtown ,2010,241.80455206485138,372560,1239
Downtown ,2011,234.28162351035442,374507,1530
Downtown ,2012,269.109528813633,376454,2324
Downtown ,2013,361.45469198221224,378401,2971
Downtown ,2014,428.7265326799175,380348,3528
Downtown ,2015,485.8868855757771,382295,3739
Downtown ,2016,718.7768297452345,384242,4390
Duboce Triangle,2011,295.77937822922695,374507,1530
Duboce Triangle,2012,452.66002242984047,376454,2324
Duboce Triangle,2014,630.3115352378672,380348,3528
Duboce Triangle,2015,631.6456863280099,382295,3739
Eureka Valley/Dolores Heights,2010,403.1183126490986,372560,1239
Eureka Valley/Dolores Heights,2011,413.16280403427527,374507,1530
Eureka Valley/Dolores Heights,2012,524.8134180834782,376454,2324
Eureka Valley/Dolores Heights,2013,608.694967227678,378401,2971
Eureka Valley/Dolores Heights,2014,728.9797158498743,380348,3528
Eureka Valley/Dolores Heights,2015,790.1803690820187,382295,3739
Eureka Valley/Dolores Heights,2016,1026.7911075237503,384242,4390
Excelsior,2010,364.92833570851764,372560,1239
Excelsior,2012,371.0302152741686,376454,2324
Excelsior,2013,289.749665708438,378401,2971
Excelsior,2014,358.30523872237734,380348,3528
Excelsior,2015,414.35585647200105,382295,3739
Excelsior,2016,534.2262501283425,384242,4390
Financial District North,2010,401.7499665916537,372560,1239
Financial District North,2011,281.312904357283,374507,1530
Financial District North,2012,286.3519820673892,376454,2324
Financial District North,2013,274.4579436322337,378401,2971
Financial District North,2014,409.9438351783924,380348,3528
Financial District North,2015,694.358566653677,382295,3739
Financial District North,2016,,384242,4390
Financial District South,2010,162.82121004772353,372560,1239
Financial District South,2011,354.66555789282774,374507,1530
Financial District South,2012,613.8430658201435,376454,2324
Financial District South,2014,694.4181461347432,380348,3528
Financial District South,2015,453.4330812935196,382295,3739
Forest Knolls,2010,209.0493266346945,372560,1239
Forest Knolls,2012,434.63234651328025,376454,2324
Glen Park,2010,715.5864380979738,372560,1239
Glen Park,2011,457.41388429762526,374507,1530
Glen Park,2013,458.7213317825408,378401,2971
Glen Park,2014,553.5627522522698,380348,3528
Glen Park,2015,612.1061563311456,382295,3739
Glen Park,2016,945.5665024630542,384242,4390
Golden Gate Heights,2010,551.8011188234774,372560,1239
Golden Gate Heights,2011,348.92970004124925,374507,1530
Golden Gate Heights,2013,956.1841219171133,378401,2971
Golden Gate Heights,2014,567.3400104586143,380348,3528
Golden Gate Heights,2015,772.7128362001238,382295,3739
Haight Ashbury,2010,254.47377914469143,372560,1239
Haight Ashbury,2011,392.35345097326814,374507,1530
Haight Ashbury,2012,418.83037933269526,376454,2324
Haight Ashbury,2013,478.4956365730093,378401,2971
Haight Ashbury,2014,496.55100121228986,380348,3528
Haight Ashbury,2015,574.2740565313097,382295,3739
Haight Ashbury,2016,531.8350322320708,384242,4390
Hayes Valley,2010,272.28497956385485,372560,1239
Hayes Valley,2011,280.73063309393075,374507,1530
Hayes Valley,2012,306.3779578647354,376454,2324
Hayes Valley,2013,491.5892613631572,378401,2971
Hayes Valley,2014,428.9237926791115,380348,3528
Hayes Valley,2015,536.5571018753241,382295,3739
Hayes Valley,2016,175.06606919629078,384242,4390
Hunters Point,2010,170.62491987132685,372560,1239
Hunters Point,2015,,382295,3739
Ingleside ,2010,275.05668560990915,372560,1239
Ingleside ,2011,356.7090091359044,374507,1530
Ingleside ,2014,647.6496334575522,380348,3528
Ingleside ,2015,192.16524813774402,382295,3739
Ingleside Heights,2011,198.01587292452027,374507,1530
Ingleside Heights,2016,571.5799833446893,384242,4390
Inner Mission,2010,238.35002040677708,372560,1239
Inner Mission,2011,283.17495073168755,374507,1530
Inner Mission,2012,336.8259501844992,376454,2324
Inner Mission,2013,377.51801557551835,378401,2971
Inner Mission,2014,464.1758436880091,380348,3528
Inner Mission,2015,435.9007753824155,382295,3739
Inner Mission,2016,647.7704471840341,384242,4390
Inner Parkside,2010,199.70200378219917,372560,1239
Inner Parkside,2014,597.200528047448,380348,3528
Inner Parkside,2015,762.5272331154684,382295,3739
Inner Parkside,2016,518.1126504655916,384242,4390
Inner Richmond,2010,285.82235848868265,372560,1239
Inner Richmond,2011,360.03727240448274,374507,1530
Inner Richmond,2012,373.4668636470579,376454,2324
Inner Richmond,2013,302.96737702840636,378401,2971
Inner Richmond,2014,430.9396363161629,380348,3528
Inner Richmond,2015,493.61555763336935,382295,3739
Inner Richmond,2016,403.31113221139015,384242,4390
Inner Sunset,2010,275.76972957461044,372560,1239
Inner Sunset,2011,302.60448945564127,374507,1530
Inner Sunset,2012,325.82892041816064,376454,2324
Inner Sunset,2013,435.5456667813491,378401,2971
Inner Sunset,2014,470.85352986706454,380348,3528
Inner Sunset,2015,639.1464438694404,382295,3739
Inner Sunset,2016,445.9238282688497,384242,4390
Jordan Park/Laurel Heights,2010,419.88781187646566,372560,1239
Jordan Park/Laurel Heights,2011,610.7666631577348,374507,1530
Jordan Park/Laurel Heights,2012,383.15039609809617,376454,2324
Jordan Park/Laurel Heights,2013,584.0737147409254,378401,2971
Jordan Park/Laurel Heights,2014,426.7863811847511,380348,3528
Jordan Park/Laurel Heights,2015,576.4579094375945,382295,3739
Jordan Park/Laurel Heights,2016,704.5664189758045,384242,4390
Lake --The Presidio,2010,320.79691049204627,372560,1239
Lake --The Presidio,2011,330.10889435237306,374507,1530
Lake --The Presidio,2012,380.5214843069476,376454,2324
Lake --The Presidio,2013,568.6511487607912,378401,2971
Lake --The Presidio,2014,432.9627229749631,380348,3528
Lake --The Presidio,2015,426.6849522707296,382295,3739
Lone Mountain,2010,398.4588759923028,372560,1239
Lone Mountain,2011,313.33845823084727,374507,1530
Lone Mountain,2012,545.9801982412763,376454,2324
Lone Mountain,2013,376.08359802951554,378401,2971
Lone Mountain,2014,317.2219194303952,380348,3528
Lone Mountain,2015,918.2882682038704,382295,3739
Lower Pacific Heights,2010,374.05763601016855,372560,1239
Lower Pacific Heights,2011,303.5441997161898,374507,1530
Lower Pacific Heights,2012,396.171112391617,376454,2324
Lower Pacific Heights,2013,548.0466890413603,378401,2971
Lower Pacific Heights,2014,716.3765095625198,380348,3528
Lower Pacific Heights,2015,800.0388650775142,382295,3739
Lower Pacific Heights,2016,636.4307703489127,384242,4390
Marina,2010,387.392839476922,372560,1239
Marina,2011,390.81846895621413,374507,1530
Marina,2012,445.21509554245245,376454,2324
Marina,2013,655.1980415945777,378401,2971
Marina,2014,642.838478220973,380348,3528
Marina,2015,1132.8373605554546,382295,3739
Marina,2016,431.94460202359033,384242,4390
Merced Heights,2012,421.1412447061912,376454,2324
Merced Heights,2014,528.7265413888829,380348,3528
Merced Heights,2016,1416.666666666667,384242,4390
Midtown Terrace,2012,397.9391288956355,376454,2324
Midtown Terrace,2013,703.0815676877947,378401,2971
Miraloma Park,2010,680.6087291389301,372560,1239
Miraloma Park,2011,414.67606477603755,374507,1530
Miraloma Park,2012,756.1923725098497,376454,2324
Miraloma Park,2014,1267.7662026328826,380348,3528
Mission Bay,2010,489.80537777998506,372560,1239
Mission Bay,2011,506.95217450146765,374507,1530
Mission Bay,2012,689.5233123659036,376454,2324
Mission Bay,2013,,378401,2971
Mission Bay,2014,220.11108719171108,380348,3528
Mission Bay,2016,924.5691159025888,384242,4390
Mission Dolores,2010,257.98799863500693,372560,1239
Mission Dolores,2011,293.4042461148187,374507,1530
Mission Dolores,2012,320.9599230279341,376454,2324
Mission Dolores,2013,427.16626614177557,378401,2971
Mission Dolores,2014,642.2195925518147,380348,3528
Mission Dolores,2015,571.7557085689908,382295,3739
Mission Terrace,2010,262.87602564056425,372560,1239
Mission Terrace,2013,591.4020223180053,378401,2971
Mission Terrace,2014,300.1873092016618,380348,3528
Mission Terrace,2015,583.8486362312665,382295,3739
Mission Terrace,2016,879.0170132325142,384242,4390
Nob Hill,2010,307.67747674427835,372560,1239
Nob Hill,2011,340.6425969783877,374507,1530
Nob Hill,2012,307.78311439850694,376454,2324
Nob Hill,2013,466.02648785310464,378401,2971
Nob Hill,2014,478.44335175268515,380348,3528
Nob Hill,2015,529.847319131393,382295,3739
Nob Hill,2016,777.0083145338547,384242,4390
Noe Valley,2010,381.13844514705266,372560,1239
Noe Valley,2011,373.97868706755236,374507,1530
Noe Valley,2012,428.0219127043747,376454,2324
Noe Valley,2013,615.0639297056517,378401,2971
Noe Valley,2014,654.801499892284,380348,3528
Noe Valley,2015,544.6002639104154,382295,3739
Noe Valley,2016,799.4956512788842,384242,4390
North Beach,2011,290.9210327099608,374507,1530
North Beach,2012,517.1734931165627,376454,2324
North Beach,2013,393.71733534550384,378401,2971
North Beach,2015,448.86919667679206,382295,3739
North Beach,2016,407.5533215595707,384242,4390
North Waterfront,2011,346.96116001560216,374507,1530
North Waterfront,2012,390.3838567783597,376454,2324
North Waterfront,2013,483.16880334240136,378401,2971
North Waterfront,2014,379.92536172660726,380348,3528
North Waterfront,2015,890.9095931764135,382295,3739
Oceanview,2010,282.11967050133603,372560,1239
Oceanview,2012,442.24265696115737,376454,2324
Oceanview,2015,265.92982650327014,382295,3739
Outer Mission,2011,142.14256751724554,374507,1530
Outer Mission,2012,221.881138746669,376454,2324
Outer Mission,2015,564.6874764662283,382295,3739
Outer Mission,2016,40.7726253518439,384242,4390
Outer Parkside,2010,432.19529211245555,372560,1239
Outer Parkside,2011,241.94565649181578,374507,1530
Outer Parkside,2012,312.83398436239065,376454,2324
Outer Parkside,2013,372.24198616911974,378401,2971
Outer Parkside,2014,650.963515967709,380348,3528
Outer Parkside,2015,652.2879690318528,382295,3739
Outer Parkside,2016,732.7206841423807,384242,4390
Outer Richmond ,2010,338.12619999607017,372560,1239
Outer Richmond ,2011,271.09013956932756,374507,1530
Outer Richmond ,2012,338.63301173022234,376454,2324
Outer Richmond ,2013,332.40781536886453,378401,2971
Outer Richmond ,2014,401.9350222176535,380348,3528
Outer Richmond ,2015,438.4677874196749,382295,3739
Outer Richmond ,2016,1196.645436923929,384242,4390
Outer Sunset,2010,368.31155203937294,372560,1239
Outer Sunset,2011,297.2455578459466,374507,1530
Outer Sunset,2012,413.05871935195154,376454,2324
Outer Sunset,2013,322.0822144332409,378401,2971
Outer Sunset,2014,490.36358286726374,380348,3528
Outer Sunset,2015,357.8946922463997,382295,3739
Outer Sunset,2016,510.5769072143791,384242,4390
Pacific Heights,2010,496.51601414694983,372560,1239
Pacific Heights,2011,509.0214800287398,374507,1530
Pacific Heights,2012,586.2182148097696,376454,2324
Pacific Heights,2013,503.89926133005366,378401,2971
Pacific Heights,2014,824.6586936349588,380348,3528
Pacific Heights,2015,910.1876901656897,382295,3739
Pacific Heights,2016,996.3893635634033,384242,4390
Park North,2010,326.01715041025074,372560,1239
Park North,2011,289.60560009472283,374507,1530
Park North,2012,288.0785187599688,376454,2324
Park North,2013,512.6307219919141,378401,2971
Park North,2014,371.9242451684328,380348,3528
Park North,2015,616.5723883169862,382295,3739
Park North,2016,211.30136986006568,384242,4390
Parkside,2010,274.16674158669116,372560,1239
Parkside,2011,217.55878684527906,374507,1530
Parkside,2012,378.2738784387478,376454,2324
Parkside,2013,364.62465302417013,378401,2971
Parkside,2014,446.23924529045684,380348,3528
Parkside,2015,,382295,3739
Parnassus/Ashbury Heights,2010,434.25500394602585,372560,1239
Parnassus/Ashbury Heights,2011,466.6178976523653,374507,1530
Parnassus/Ashbury Heights,2012,515.9210732061051,376454,2324
Parnassus/Ashbury Heights,2013,425.64225533080946,378401,2971
Parnassus/Ashbury Heights,2014,773.4061347806703,380348,3528
Parnassus/Ashbury Heights,2015,605.3433249358948,382295,3739
Parnassus/Ashbury Heights,2016,1207.997484708169,384242,4390
Portola,2010,302.15611319728896,372560,1239
Portola,2011,208.1679967483858,374507,1530
Portola,2012,351.0432256921308,376454,2324
Portola,2013,235.99759251727426,378401,2971
Portola,2014,538.204698577284,380348,3528
Potrero Hill,2010,491.45000385678617,372560,1239
Potrero Hill,2011,503.13850456030497,374507,1530
Potrero Hill,2012,466.6478402167172,376454,2324
Potrero Hill,2013,598.704795328917,378401,2971
Potrero Hill,2014,1045.2015459222662,380348,3528
Potrero Hill,2015,821.3009904764873,382295,3739
Potrero Hill,2016,707.6516094320912,384242,4390
Presidio Heights,2010,549.4179312485746,372560,1239
Presidio Heights,2011,493.814917282618,374507,1530
Presidio Heights,2012,426.60859207171325,376454,2324
Presidio Heights,2013,512.8402484358223,378401,2971
Presidio Heights,2014,603.4509968798565,380348,3528
Presidio Heights,2015,,382295,3739
Presidio Heights,2016,1465.9685863874345,384242,4390
Russian Hill,2010,362.34822391312133,372560,1239
Russian Hill,2011,448.3201042149405,374507,1530
Russian Hill,2012,414.16272789686775,376454,2324
Russian Hill,2013,506.22752218971993,378401,2971
Russian Hill,2014,714.2220737504065,380348,3528
Russian Hill,2015,793.2619915605263,382295,3739
Russian Hill,2016,1024.3398771365157,384242,4390
Silver Terrace,2014,170.2925485152069,380348,3528
South Beach,2010,1037.0997886617895,372560,1239
South Beach,2011,388.6443367815385,374507,1530
South Beach,2014,524.6293121403909,380348,3528
South of Market,2010,401.2959764896399,372560,1239
South of Market,2011,337.91413464365013,374507,1530
South of Market,2012,463.8098989043553,376454,2324
South of Market,2013,420.822184596571,378401,2971
South of Market,2014,1119.8388773148026,380348,3528
South of Market,2015,717.0825412171872,382295,3739
South of Market,2016,531.1363737279744,384242,4390
Sunnyside,2010,542.5316819894505,372560,1239
Sunnyside,2011,437.16429949197664,374507,1530
Sunnyside,2013,505.83481143735054,378401,2971
Sunnyside,2014,493.45560489574007,380348,3528
Sunnyside,2015,439.7498835483721,382295,3739
Sunnyside,2016,751.1737089201877,384242,4390
Telegraph Hill,2010,524.7935090952678,372560,1239
Telegraph Hill,2011,483.4057725178001,374507,1530
Telegraph Hill,2012,465.80212163177373,376454,2324
Telegraph Hill,2013,653.3116166908643,378401,2971
Telegraph Hill,2014,708.1930316849231,380348,3528
Telegraph Hill,2015,996.9902204858653,382295,3739
Telegraph Hill,2016,903.0497705987848,384242,4390
Twin Peaks,2010,331.55599614560697,372560,1239
Twin Peaks,2011,284.56696642681646,374507,1530
Twin Peaks,2012,304.89964760284107,376454,2324
Twin Peaks,2013,414.43569251368126,378401,2971
Twin Peaks,2014,562.9112337982453,380348,3528
Twin Peaks,2015,417.33537892280015,382295,3739
Twin Peaks,2016,970.08547008547,384242,4390
Union Square District,2010,569.1934475267735,372560,1239
Union Square District,2011,302.12325280969134,374507,1530
Union Square District,2012,445.1967876448791,376454,2324
Union Square District,2013,1290.472106646641,378401,2971
Union Square District,2014,558.2711194060469,380348,3528
Union Square District,2015,2258.702831998355,382295,3739
Van Ness/ Civic Center,2010,108.0129268765048,372560,1239
Van Ness/ Civic Center,2011,384.23680203579306,374507,1530
Van Ness/ Civic Center,2012,345.95804038831767,376454,2324
Van Ness/ Civic Center,2013,285.0095060630079,378401,2971
Van Ness/ Civic Center,2014,475.39318681250677,380348,3528
Van Ness/ Civic Center,2015,677.8382318281795,382295,3739
Van Ness/ Civic Center,2016,552.6025671312701,384242,4390
Visitacion Valley,2013,293.2983722057751,378401,2971
Visitacion Valley,2014,282.02546830016496,380348,3528
Visitacion Valley,2015,302.2218727063018,382295,3739
Visitacion Valley,2016,328.31900668576884,384242,4390
West Portal,2010,392.30076417058257,372560,1239
West Portal,2012,325.79541506433713,376454,2324
West Portal,2013,588.0747967826295,378401,2971
West Portal,2014,687.7829633004552,380348,3528
Western Addition,2010,215.56913431487555,372560,1239
Western Addition,2011,227.41898086494461,374507,1530
Western Addition,2012,274.33846004864847,376454,2324
Western Addition,2013,217.0890689540353,378401,2971
Western Addition,2014,429.4883174233179,380348,3528
Western Addition,2015,481.46924427394237,382295,3739
Westwood Highlands,2011,320.0743330547439,374507,1530
Westwood Highlands,2013,747.3335378171588,378401,2971
Westwood Park,2014,742.9797231632554,380348,3528
Westwood Park,2016,631.1954258724091,384242,4390
Yerba Buena,2010,333.12677384193887,372560,1239
Yerba Buena,2011,438.86054508174806,374507,1530
Yerba Buena,2012,491.8140030500954,376454,2324
Yerba Buena,2013,753.0114133184368,378401,2971
Yerba Buena,2014,479.9237488133093,380348,3528
Yerba Buena,2015,963.5226061641273,382295,3739
